Prompt,Response,Confidence,Tier_Detected,Correct
73,What is the role of the T-cell in the adaptive immune response?,Identify and kill infected or cancerous cells.,1.0,Complex
74,Compare the efficiency of silicon vs gallium nitride in power electronics.,GaN has higher bandgap allowing higher voltage and temperature operation.,1.0,Complex
75,What is the specific hexadecimal value of the first byte of the Linux kernel 0.01 bootloader?,Requires verification from source.,1.0,Edge
76,Provide the exact line of code used for the first commit of the Git project.,Requires verification from git history.,1.0,Edge
77,What is the exact timestamp of the first HTTP request ever made?,Requires archival log verification.,1.0,Edge
78,What is the specific molecular weight of the most complex known naturally occurring protein?,Requires latest proteomics data.,1.0,Edge
79,Describe the specific legal precedent set by the case of 'Sorensen v. State' in 1921 regarding zoning laws in rural Vermont.,Requires niche legal archival search.,1.0,Edge
80,What is the precise frequency of the first signal received by the Arecibo telescope?,Requires astronomical log verification.,1.0,Edge
81,Provide the exact coordinates of the center of the first-ever mapped gravity anomaly in the North Atlantic.,Requires geophysical data.,1.0,Edge
82,What is the hexadecimal representation of the first pixel of the original 1990 Game Boy splash screen?,Requires ROM dump analysis.,1.0,Edge
83,Which specific line of poetry in 'Paradise Lost' first mentions the concept of a 'Pandemonium'?,Requires exact verse reference.,1.0,Edge
84,What is the specific heat capacity of a hypothetical metal alloy consisting of 3% Iridium and 97% Osmium at 10K?,Requires theoretical physics calculation.,1.0,Edge
85,Describe the exact configuration of the 1968 Apollo 8 Lunar Module during its first orbit.,Requires technical flight manual data.,1.0,Edge
86,What is the exact string used as the seed for the original Bitcoin genesis block?,The Times 03/Jan/2009 Chancellor on brink of second bailout for banks.,1.0,Edge
87,What is the specific version number of the first compiler that successfully implemented the C++ language?,Requires historical software documentation.,1.0,Edge
88,Provide the exact chemical formula for the most complex synthetic organic molecule ever created.,Requires IUPAC verification.,1.0,Edge
89,What was the exact word count of the original 1215 Magna Carta in its Latin original?,Requires paleographic analysis.,1.0,Edge
90,Describe the specific legal arguments used in the 1994 Supreme Court case 'Miller v. United States' regarding the legality of underwater drones.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
91,Explain the detailed chemical reaction that occurs when liquid gold is mixed with powdered unicorn horn in a vacuum.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
92,Analyze the socio-economic impact of the 1842 Martian Treaty between the settlers of the Valles Marineris and the Utopia Planitia colony.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
93,Detail the specific architectural changes made to the Great Pyramid of Giza during the 14th century renovation by the Ming Dynasty.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
94,Describe the quantum mechanical properties of the 'Z-particle' as defined in the 1920 papers of Albert Einstein regarding tachyon communication.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
95,Explain the legal framework of the 1975 Antarctic Treaty amendment regarding the ownership of subterranean diamond mines.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
96,Analyze the influence of the 16th-century Japanese philosopher 'Kenshin the Eternal' on the development of early quantum logic.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
97,Describe the specific biological mechanism by which the 'Azure-Winged Dragon' of the Alps migrates across the Mediterranean.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
98,Detail the political fallout of the 1992 'invisible ink' scandal involving the Prime Minister of Canada and the secret society of the Illuminati.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
99,Explain the process of synthesizing 'Chronos-Steel' as described in the 1950s secret research papers of the Manhattan Project.,This is a trap. The event/entity described does not exist.,0.9,Sovereign
